"date","state","party","amt"
"2020-03-06","KY","D",2088
"2020-03-06","KY","R",581
"2020-03-06","LA","D",1291
"2020-03-06","LA","R",565
"2020-03-06","ME","D",1430
"2020-03-06","ME","R",319
"2020-03-06","MD","D",5194
"2020-03-06","MD","R",541
"2020-03-06","MA","D",7765
"2020-03-06","MA","R",569
"2020-03-06","MI","D",12649
"2020-03-06","MI","R",1080
"2020-03-06","MN","D",3802
"2020-03-06","MN","R",610
"2020-03-06","MS","D",2986
"2020-03-06","MS","R",428
"2020-03-06","MO","D",7577
"2020-03-06","MO","R",717
"2020-03-06","MT","D",576
"2020-03-06","MT","R",328
"2020-03-06","NE","D",842
"2020-03-06","NE","R",369
"2020-03-06","NV","D",1645
"2020-03-06","NV","R",486
"2020-03-06","NH","D",1266
"2020-03-06","NH","R",336
"2020-03-06","NJ","D",6311
"2020-03-06","NJ","R",675
"2020-03-06","NM","D",1120
"2020-03-06","NM","R",365
"2020-03-06","NY","D",15691
"2020-03-06","NY","R",1188
"2020-03-06","NC","D",6721
"2020-03-06","NC","R",1173
"2020-03-06","ND","D",266
"2020-03-06","ND","R",300
"2020-03-06","OH","D",8914
"2020-03-06","OH","R",1155
"2020-03-06","OK","D",1577
"2020-03-06","OK","R",665
"2020-03-06","OR","D",3469
"2020-03-06","OR","R",581
"2020-03-06","PA","D",8424
"2020-03-06","PA","R",1176
"2020-03-06","RI","D",953
"2020-03-06","RI","R",300
"2020-03-06","SC","D",2740
"2020-03-06","SC","R",708
"2020-03-06","SD","D",312
"2020-03-06","SD","R",300
"2020-03-06","TN","D",3335
"2020-03-06","TN","R",894
"2020-03-06","TX","D",11721
"2020-03-06","TX","R",3525
"2020-03-06","UT","D",1482
"2020-03-06","UT","R",462
"2020-03-06","VT","D",690
"2020-03-06","VT","R",300
"2020-03-06","VA","D",6655
"2020-03-06","VA","R",971
"2020-03-06","DC","D",1379
"2020-03-06","DC","R",300
"2020-03-06","WA","D",7066
"2020-03-06","WA","R",886
"2020-03-06","WV","D",746
"2020-03-06","WV","R",361
"2020-03-06","WI","D",2961
"2020-03-06","WI","R",569
"2020-03-06","WY","D",238
"2020-03-06","WY","R",300
"2020-03-07","AL","D",1675
"2020-03-07","AL","R",709
"2020-03-07","AK","D",409
"2020-03-07","AK","R",314
"2020-03-07","AZ","D",4876
"2020-03-07","AZ","R",1083
"2020-03-07","AR","D",1189
"2020-03-07","AR","R",452
"2020-03-07","CA","D",27174
"2020-03-07","CA","R",3195
"2020-03-07","CO","D",4815
"2020-03-07","CO","R",784
"2020-03-07","CT","D",3360
"2020-03-07","CT","R",404
"2020-03-07","DE","D",946
"2020-03-07","DE","R",300
"2020-03-07","FL","D",18380
"2020-03-07","FL","R",3086
"2020-03-07","GA","D",5066
"2020-03-07","GA","R",1265
"2020-03-07","HI","D",678
"2020-03-07","HI","R",300
"2020-03-07","ID","D",902
"2020-03-07","ID","R",403
"2020-03-07","IL","D",10858
"2020-03-07","IL","R",963
"2020-03-07","IN","D",3105
"2020-03-07","IN","R",776
"2020-03-07","IA","D",1817
"2020-03-07","IA","R",455
"2020-03-07","KS","D",1658
"2020-03-07","KS","R",452
"2020-03-07","KY","D",1992
"2020-03-07","KY","R",578
"2020-03-07","LA","D",1244
"2020-03-07","LA","R",534
"2020-03-07","ME","D",1466
"2020-03-07","ME","R",324
"2020-03-07","MD","D",5204
